No,지역,지역,지역,규모,2020년 6월,2020년 6월
No,지역,지역,지역,규모,동(호)수,면적
No,지역,지역,지역,규모,동(호)수,천㎡
1,전국,전국,전국,합계,"""158,348""","""12,120"""
2,전국,전국,전국,20㎡이하,"""1,147""",13
3,전국,전국,전국,21~40㎡,"""8,136""",284
4,전국,전국,전국,41~60㎡,"""50,127""","""2,786"""
5,전국,전국,전국,61~85㎡,"""78,927""","""6,460"""
6,전국,전국,전국,86~100㎡,"""2,855""",276
7,전국,전국,전국,101~135㎡,"""13,974""","""1,621"""
8,전국,전국,전국,136~165㎡,"""2,357""",352
9,전국,전국,전국,166~198㎡,624,111
10,전국,전국,전국,198㎡초과,201,217
11,서울,서울,서울,합계,"""15,761""","""1,134"""
12,서울,서울,서울,20㎡이하,408,6
13,서울,서울,서울,21~40㎡,"""1,607""",54
14,서울,서울,서울,41~60㎡,"""5,655""",308
15,서울,서울,서울,61~85㎡,"""5,632""",461
16,서울,서울,서울,86~100㎡,247,23
17,서울,서울,서울,101~135㎡,"""1,673""",194
18,서울,서울,서울,136~165㎡,354,53
19,서울,서울,서울,166~198㎡,110,19
20,서울,서울,서울,198㎡초과,75,16
21,서울,종로구,종로구,합계,106,8
22,서울,종로구,종로구,20㎡이하,6,0
23,서울,종로구,종로구,21~40㎡,3,0
24,서울,종로구,종로구,41~60㎡,31,2
25,서울,종로구,종로구,61~85㎡,34,3
26,서울,종로구,종로구,86~100㎡,6,1
27,서울,종로구,종로구,101~135㎡,20,2
28,서울,종로구,종로구,136~165㎡,3,0
29,서울,종로구,종로구,166~198㎡,3,1
30,서울,종로구,종로구,198㎡초과,0,0
31,서울,중구,중구,합계,151,11
32,서울,중구,중구,20㎡이하,4,0
33,서울,중구,중구,21~40㎡,16,0
34,서울,중구,중구,41~60㎡,50,3
35,서울,중구,중구,61~85㎡,48,4
36,서울,중구,중구,86~100㎡,1,0
37,서울,중구,중구,101~135㎡,25,3
38,서울,중구,중구,136~165㎡,5,1
39,서울,중구,중구,166~198㎡,0,0
40,서울,중구,중구,198㎡초과,2,0
41,서울,용산구,용산구,합계,267,28
42,서울,용산구,용산구,20㎡이하,2,0
43,서울,용산구,용산구,21~40㎡,6,0
44,서울,용산구,용산구,41~60㎡,70,4
45,서울,용산구,용산구,61~85㎡,67,5
46,서울,용산구,용산구,86~100㎡,8,1
47,서울,용산구,용산구,101~135㎡,42,5
48,서울,용산구,용산구,136~165㎡,36,5
49,서울,용산구,용산구,166~198㎡,15,3
50,서울,용산구,용산구,198㎡초과,21,5
51,서울,성동구,성동구,합계,393,31
52,서울,성동구,성동구,20㎡이하,4,0
53,서울,성동구,성동구,21~40㎡,8,0
54,서울,성동구,성동구,41~60㎡,153,9
55,서울,성동구,성동구,61~85㎡,149,12
56,서울,성동구,성동구,86~100㎡,6,1
