행정구역별(1),행정구역별(2),1월,1월,2월,2월,3월,3월,4월,4월,5월,5월,6월,6월,7월,7월,8월,8월,9월,9월,10월,10월,11월,11월,12월,12월
행정구역별(1),행정구역별(2),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡)
전국,소계,137125,10457,152542,11564,123721,9243,83012,6041,102531,7508,158348,12120,173221,12994,106969,8148,113844,8548,113766,8532,137937,10330,172359,12893
서울특별시,소계,17545,1217,16515,1186,15521,1027,7332,450,9767,661,15761,1134,24038,1751,12277,861,13207,894,10276,651,10548,708,14060,983
서울특별시,종로구,194,16,91,6,104,8,55,4,68,5,106,8,173,14,80,6,57,5,51,4,100,6,102,9
서울특별시,중구,186,14,124,10,116,10,50,4,63,5,151,11,223,19,310,14,464,24,136,8,179,11,132,10
서울특별시,용산구,634,40,448,34,186,14,228,14,834,42,267,28,478,40,259,22,150,14,127,11,245,18,247,24
서울특별시,성동구,458,35,400,31,325,25,157,12,154,12,393,31,1600,119,347,28,250,20,125,10,231,19,466,34
서울특별시,광진구,192,16,163,13,123,9,99,8,116,9,180,15,438,31,248,15,591,46,164,8,367,30,205,13
서울특별시,동대문구,802,45,986,52,563,36,216,13,289,19,427,32,985,63,916,65,302,19,242,15,216,14,385,26
서울특별시,중랑구,307,21,440,29,510,34,218,15,286,16,433,28,604,41,333,22,391,28,217,13,126,8,263,17
서울특별시,성북구,762,58,674,51,941,60,230,17,286,21,599,46,1096,83,479,34,621,37,393,24,260,18,485,33
서울특별시,강북구,526,34,360,28,354,28,121,9,142,11,288,22,423,32,117,8,94,7,151,9,88,6,172,13
서울특별시,도봉구,493,35,508,36,679,48,260,18,332,20,729,48,1049,70,367,26,235,16,201,13,231,16,431,29
서울특별시,노원구,1291,80,1390,86,1347,83,542,34,517,33,1456,90,1950,123,858,50,1546,96,561,31,485,29,1219,78
서울특별시,은평구,447,32,516,37,566,39,615,31,532,31,519,39,1176,77,477,33,568,30,2277,142,441,24,1099,74
서울특별시,서대문구,2027,136,1081,67,696,40,315,17,193,14,563,38,959,62,310,23,540,30,305,21,298,21,511,36
서울특별시,마포구,551,39,509,34,2051,133,283,20,308,19,692,43,914,62,582,35,231,17,224,17,278,19,391,30
서울특별시,양천구,638,49,551,39,747,46,385,20,655,38,866,65,1135,81,510,38,261,19,436,22,420,31,471,34
서울특별시,강서구,774,47,717,48,564,39,480,29,295,20,1000,61,2514,179,877,61,503,33,333,24,327,23,699,47
서울특별시,구로구,620,44,719,52,606,44,280,19,378,24,765,53,1029,74,377,27,296,20,274,18,374,22,553,36
서울특별시,금천구,511,31,233,16,301,19,134,8,125,8,236,17,358,50,178,12,192,12,188,10,237,12,450,20
서울특별시,영등포구,1016,73,475,34,1597,96,459,18,334,14,741,43,709,52,427,30,328,23,373,25,654,41,763,52
서울특별시,동작구,379,30,552,35,579,44,239,17,190,14,452,35,1326,104,922,68,813,58,196,15,464,31,582,36
서울특별시,관악구,1301,86,347,24,446,29,289,18,152,11,443,34,487,36,275,20,404,22,227,15,195,14,368,22
서울특별시,서초구,657,52,473,35,378,27,313,21,590,42,725,56,783,67,727,58,1122,94,423,30,482,39,788,61
서울특별시,강남구,520,46,961,71,345,25,776,47,2262,187,1968,160,1116,84,931,67,1080,72,724,49,994,67,1848,147
서울특별시,송파구,890,71,2706,249,365,29,222,16,345,26,987,75,1524,114,830,59,722,49,665,43,982,65,696,57
서울특별시,강동구,1369,85,1091,70,1032,64,366,20,321,19,775,57,989,72,540,38,1446,101,1263,73,1874,123,734,45
부산광역시,소계,11037,846,8456,681,8762,675,6846,502,6983,512,13588,1036,13397,1041,8636,660,9313,731,11502,892,18932,1482,15122,1109
부산광역시,중구,33,2,30,2,27,2,40,2,39,2,39,2,46,2,25,2,52,3,44,2,58,4,80,5
부산광역시,서구,190,16,205,18,157,13,278,17,230,19,437,37,286,25,131,10,153,12,149,12,339,28,255,20
부산광역시,동구,267,19,276,19,428,31,306,22,293,21,234,16,233,16,117,7,176,12,247,15,337,22,289,17
부산광역시,영도구,228,17,169,12,193,13,160,11,170,14,172,12,422,29,144,9,925,70,424,29,478,31,583,38
부산광역시,부산진구,1964,137,1340,101,1493,106,674,45,818,55,3077,217,1919,128,2216,157,744,54,1923,137,2279,166,2230,162
부산광역시,동래구,787,62,779,58,469,35,341,26,558,40,871,67,1221,97,851,64,759,62,833,68,1481,121,751,53
부산광역시,남구,1628,104,603,49,1272,99,731,52,946,60,898,74,1089,88,713,57,1634,129,2034,155,1545,126,797,61
부산광역시,북구,868,64,762,57,782,58,681,47,491,34,820,60,802,62,396,29,508,39,586,45,1543,115,1120,80
부산광역시,해운대구,1788,174,1215,128,908,90,745,66,904,76,1708,143,2425,214,936,80,1217,106,1577,135,3147,255,950,61
부산광역시,사하구,560,39,560,41,486,36,679,48,455,33,761,57,748,56,453,34,505,39,668,51,1433,109,1477,110
부산광역시,금정구,446,35,337,26,374,29,439,33,305,23,398,33,554,45,345,28,440,39,563,47,1125,91,673,51
부산광역시,강서구,262,21,246,20,163,13,126,10,198,17,489,41,469,39,233,21,454,34,337,27,1024,86,476,41
부산광역시,연제구,677,56,772,62,789,61,737,56,294,23,569,45,1049,80,420,32,510,38,668,53,1123,92,3268,251
