광역지방자치단체,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
전국,137125,152542,123721,83012,102531,158348,173221,106969,113844,113766,137937,172359
서울특별시,17545,16515,15521,7332,9767,15761,24038,12277,13207,10276,10548,14060
부산광역시,11037,8456,8762,6846,6983,13588,13397,8636,9313,11502,18932,15122
대구광역시,7025,8725,4874,4026,5581,8561,11089,7244,12306,10372,9322,10873
인천광역시,18841,13637,15049,6792,9258,12911,9456,9042,8656,5144,4471,7969
광주광역시,3524,8878,3181,2330,3281,3783,4724,3486,2981,3225,8982,7240
대전광역시,4165,4354,3483,2750,3085,8165,3693,2323,1895,2115,4190,3890
울산광역시,2885,3281,1990,1233,1581,2661,5964,1957,2519,2273,6537,4892
세종특별자치시,2159,1824,1191,776,1527,1577,8988,2870,1328,715,644,1615
경기도,38053,53407,43226,26861,28200,52000,52315,30564,30616,36782,33524,50371
강원도,4173,5080,3572,3156,3522,4514,4578,2909,3599,3209,3630,4606
충청북도,3695,3932,3063,2716,6598,5848,2793,2051,2861,2383,3277,4429
충청남도,4165,4390,4570,4063,4009,6480,6748,5394,6571,6694,6377,9698
전라북도,4152,3897,3120,2506,3623,4023,4634,3327,3155,3738,4873,6851
전라남도,2361,4265,3180,4154,4787,4266,5982,2986,4176,4381,3628,5000
경상북도,3968,4213,3142,3184,4171,6300,5350,3736,3721,4473,6647,10297
경상남도,8962,7322,5464,4040,6326,7519,8973,7832,6640,6101,11781,14391
제주특별자치도,415,366,333,247,232,391,499,335,300,383,574,1055
